Transaction_ID,Date,Region,Product_Category,Product_Name,Units_Sold,Unit_Price,Sales_Target,Total_Sales,Cost,Profit,Target_Achieved
FF100000,2024-01-01,Philippines,Characters,Shadow Bundle,348,49,82120,17052,7522.3968059941735,9529.603194005827,No
FF100001,2024-01-02,Thailand,Elite Pass,1000 Diamonds,285,199,21988,56715,32566.30457414888,24148.69542585112,Yes
FF100002,2024-01-03,Vietnam,Skins,Elite Pass S2,269,99,133745,26631,14691.061139382738,11939.938860617262,No
FF100003,2024-01-04,Philippines,Diamonds,1000 Diamonds,466,199,130041,92734,41101.90064264442,51632.09935735558,No
FF100004,2024-01-05,Indonesia,Diamonds,M1014 Evo,258,49,148467,12642,7423.376656217219,5218.623343782781,No
FF100005,2024-01-06,Vietnam,Weapons,500 Diamonds,29,999,147400,28971,13966.690963753324,15004.309036246676,No
FF100006,2024-01-07,Vietnam,Characters,Shadow Bundle,213,299,34256,63687,34795.41127353376,28891.588726466238,Yes
FF100007,2024-01-08,Philippines,Skins,Elite Pass S2,463,299,138490,138437,58791.660126783085,79645.33987321692,No
FF100008,2024-01-09,Brazil,Characters,M1014 Evo,436,49,107728,21364,11491.166139493553,9872.833860506447,No
FF100009,2024-01-10,Indonesia,Skins,M1014 Evo,283,99,146155,28017,13782.656095246708,14234.343904753292,No
FF100010,2024-01-11,Philippines,Weapons,Shadow Bundle,50,299,48230,14950,9668.379732166313,5281.620267833687,No
FF100011,2024-01-12,Indonesia,Weapons,500 Diamonds,95,499,125466,47405,19772.322965993077,27632.677034006923,No
FF100012,2024-01-13,Indonesia,Diamonds,Golden AK,463,299,79778,138437,72760.02059536065,65676.97940463935,Yes
FF100013,2024-01-14,Vietnam,Characters,Golden AK,499,499,65833,249001,133845.36491204565,115155.63508795435,Yes
FF100014,2024-01-15,Thailand,Diamonds,M1014 Evo,407,49,42625,19943,12314.838853889996,7628.161146110004,No
FF100015,2024-01-16,Indonesia,Characters,Golden AK,88,49,52088,4312,2467.698407136697,1844.301592863303,No
FF100016,2024-01-17,Mexico,Diamonds,Dragon Skin,44,299,99650,13156,7895.753652437994,5260.246347562006,No
FF100017,2024-01-18,Vietnam,Elite Pass,M1014 Evo,461,199,61167,91739,58081.31732492193,33657.68267507807,Yes
FF100018,2024-01-19,Brazil,Elite Pass,M1014 Evo,278,499,123937,138722,91370.75627354337,47351.243726456625,Yes
FF100019,2024-01-20,Thailand,Elite Pass,Elite Pass S2,171,99,91291,16929,8365.67948520441,8563.32051479559,No
FF100020,2024-01-21,Mexico,Elite Pass,Golden AK,421,299,85303,125879,70669.32803855081,55209.67196144919,Yes
FF100021,2024-01-22,Mexico,Skins,500 Diamonds,189,99,96361,18711,12200.17867670276,6510.821323297239,No
FF100022,2024-01-23,Brazil,Elite Pass,M1014 Evo,353,299,108229,105547,73548.87955599064,31998.120444009357,No
FF100023,2024-01-24,Thailand,Weapons,1000 Diamonds,184,199,24117,36616,24417.591727953528,12198.408272046472,Yes
FF100024,2024-01-25,Vietnam,Weapons,500 Diamonds,3,199,110265,597,305.3297867360259,291.6702132639741,No
FF100025,2024-01-26,India,Skins,Dragon Skin,191,199,148938,38009,17429.025245889105,20579.974754110895,No
FF100026,2024-01-27,Thailand,Elite Pass,Elite Pass S2,118,999,117718,117882,64459.97132836905,53422.02867163095,Yes
FF100027,2024-01-28,Brazil,Elite Pass,Shadow Bundle,19,199,80710,3781,2353.643898817623,1427.3561011823772,No
FF100028,2024-01-29,Mexico,Elite Pass,500 Diamonds,23,49,114426,1127,617.3376028216899,509.66239717831013,No
FF100029,2024-01-30,Vietnam,Diamonds,M1014 Evo,413,49,114876,20237,11028.239339263613,9208.760660736387,No
FF100030,2024-01-31,Thailand,Characters,Dragon Skin,30,999,87054,29970,19524.529715946468,10445.470284053532,No
FF100031,2024-02-01,India,Diamonds,Elite Pass S1,295,499,50949,147205,74842.13298927555,72362.86701072445,Yes
FF100032,2024-02-02,India,Characters,Dragon Skin,108,99,42547,10692,7034.6773989258345,3657.3226010741655,No
FF100033,2024-02-03,Indonesia,Elite Pass,Dragon Skin,367,299,101882,109733,57285.17336685064,52447.82663314936,Yes
FF100034,2024-02-04,Indonesia,Elite Pass,Elite Pass S2,281,299,88136,84019,41880.94519179652,42138.05480820348,No
FF100035,2024-02-05,Philippines,Diamonds,Shadow Bundle,128,999,131541,127872,68564.57937747837,59307.42062252163,No
FF100036,2024-02-06,Brazil,Diamonds,Elite Pass S1,229,49,136883,11221,7055.02519698721,4165.97480301279,No
FF100037,2024-02-07,Thailand,Characters,Golden AK,111,299,84619,33189,14530.164390833434,18658.835609166566,No
FF100038,2024-02-08,Thailand,Weapons,Golden AK,136,49,81842,6664,3058.2812963713372,3605.7187036286628,No
FF100039,2024-02-09,Philippines,Characters,500 Diamonds,362,499,114803,180638,123815.32712543888,56822.67287456112,Yes
FF100040,2024-02-10,Mexico,Diamonds,Dragon Skin,186,99,121858,18414,8335.050847980094,10078.949152019906,No
FF100041,2024-02-11,Mexico,Diamonds,1000 Diamonds,144,499,46990,71856,40980.78424717616,30875.21575282384,Yes
FF100042,2024-02-12,Philippines,Skins,Elite Pass S2,72,999,36193,71928,41271.879287417956,30656.120712582044,Yes
FF100043,2024-02-13,Mexico,Diamonds,1000 Diamonds,129,199,50109,25671,14039.14486958755,11631.85513041245,No
FF100044,2024-02-14,Indonesia,Skins,Elite Pass S2,364,199,39233,72436,42985.23004777313,29450.769952226867,Yes
FF100045,2024-02-15,Thailand,Weapons,Golden AK,261,199,133557,51939,24356.69109336075,27582.30890663925,No
FF100046,2024-02-16,Philippines,Characters,500 Diamonds,3,499,101730,1497,847.0006244585375,649.9993755414625,No
FF100047,2024-02-17,Thailand,Characters,500 Diamonds,449,299,148133,134251,68689.78950704535,65561.21049295465,No
FF100048,2024-02-18,India,Skins,500 Diamonds,388,99,54510,38412,22989.58883306292,15422.41116693708,No
FF100049,2024-02-19,Indonesia,Characters,Elite Pass S1,104,199,21306,20696,9155.22873609521,11540.77126390479,No
FF100050,2024-02-20,Vietnam,Diamonds,Shadow Bundle,483,999,23849,482517,275644.21756234,206872.78243765997,Yes
FF100051,2024-02-21,Indonesia,Elite Pass,Elite Pass S1,224,999,32360,223776,101948.1177138776,121827.8822861224,Yes
FF100052,2024-02-22,Philippines,Skins,M1014 Evo,320,199,131072,63680,30795.197077749657,32884.80292225034,No
FF100053,2024-02-23,Vietnam,Characters,M1014 Evo,362,199,142207,72038,33541.82497871309,38496.17502128691,No
FF100054,2024-02-24,India,Skins,1000 Diamonds,354,99,114767,35046,15940.71984998477,19105.28015001523,No
FF100055,2024-02-25,Philippines,Skins,Shadow Bundle,491,199,65800,97709,63287.41740981236,34421.58259018764,Yes
